RECORDID,FORMULAID,FORMULANAME,EXPRESSION,FORMULAREFS,ISLATEST,VERSION,CATEGORYID,CREATOR,CREATETIME,REVISOR,REVISETIME,ARCHIVEFLAG,CONTENT,ISDELETED,TEMPLATEID,SOURCEID,ITEMID,FIELDNAME
200141,NYZHZBDYSS.IXRL.SUMVALUE,湛江钢铁中压氧气损失率实绩累计值,,NYZHZBDYSS.IXRL,0,20110600000000,116,管理员,2019-12-28-15.03.51.270699,管理员,2019-12-28-15.03.51.270699,0,,0,IX,IXRL,NYZHZBDYSS,SUMVALUE
200173,GXDHNY1305Z601.IXRL,动力单元锅炉热耗实绩报出值,,,0,20110600000000,256,管理员,2019-12-28-15.40.30.406574,管理员,2019-12-28-15.40.30.406574,0,,0,IX,IXRL,GXDHNY1305Z601,REPORTVALUE
200174,GXDHNY1305Z601.IXRL.SUMVALUE,动力单元锅炉热耗实绩累计值,,GXDHNY1305Z601.IXRL,1,20110600000000,256,管理员,2019-12-28-15.40.30.414200,管理员,2019-12-28-15.40.30.414200,0,,0,IX,IXRL,GXDHNY1305Z601,SUMVALUE
200144,NYZHZBGYSS.IXRL,湛江钢铁高压氩气能源综合指标实绩报出值,,,0,20110600000000,116,管理员,2019-12-28-15.05.14.172356,管理员,2019-12-28-15.05.14.172357,0,,0,IX,IXRL,NYZHZBGYSS,REPORTVALUE
200145,NYZHZBGYSS.IXRL.SUMVALUE,湛江钢铁高压氩气损失率实绩累计值,,NYZHZBGYSS.IXRL,0,20110600000000,116,管理员,2019-12-28-15.05.14.180823,管理员,2019-12-28-15.05.14.180823,0,,0,IX,IXRL,NYZHZBGYSS,SUMVALUE
200175,GXDHNY1305Z601.IXPL,动力单元锅炉热耗计划报出值,,,0,20110600000000,256,管理员,2019-12-28-15.40.30.452084,管理员,2019-12-28-15.40.30.452084,0,,0,IX,IXPL,GXDHNY1305Z601,REPORTVALUE
200176,GXDHNY1305Z601.IXPL.SUMVALUE,动力单元锅炉热耗计划累计值,,GXDHNY1305Z601.IXPL,1,20110600000000,256,管理员,2019-12-28-15.40.30.460896,管理员,2019-12-28-15.40.30.460897,0,,0,IX,IXPL,GXDHNY1305Z601,SUMVALUE
200151,NYZHZBSHSH.IXRL,湛江钢铁生活水损失率实绩报出值,,,1,20110600000000,116,管理员,2019-12-28-15.14.43.233782,管理员,2019-12-28-15.14.43.233783,0,,0,IX,IXRL,NYZHZBSHSH,REPORTVALUE
200152,NYZHZBSHSH.IXRL.SUMVALUE,湛江钢铁生活水损失率实绩累计值,,NYZHZBSHSH.IXRL,0,20110600000000,116,管理员,2019-12-28-15.14.43.241702,管理员,2019-12-28-15.14.43.241703,0,,0,IX,IXRL,NYZHZBSHSH,SUMVALUE
200153,NYZHZBHYSH.IXRL,湛江钢铁回用水损失率实绩报出值,,,1,20110600000000,116,管理员,2019-12-28-15.14.43.280471,管理员,2019-12-28-15.14.43.280471,0,,0,IX,IXRL,NYZHZBHYSH,REPORTVALUE
200154,NYZHZBHYSH.IXRL.SUMVALUE,湛江钢铁回用水损失率实绩累计值,,NYZHZBHYSH.IXRL,0,20110600000000,116,管理员,2019-12-28-15.14.43.288042,管理员,2019-12-28-15.14.43.288043,0,,0,IX,IXRL,NYZHZBHYSH,SUMVALUE
200155,NYZHZBCSSH.IXRL,湛江钢铁纯水损失率实绩报出值,,,1,20110600000000,116,管理员,2019-12-28-15.14.43.327428,管理员,2019-12-28-15.14.43.327428,0,,0,IX,IXRL,NYZHZBCSSH,REPORTVALUE
